,font,size,y1,y2,x1,x2,char,xspace,yspace
0,SXMFFW+CMBX12,14.360999999999999,704.342,718.702,133.768,141.838,1,16.13900000000001,
1,SXMFFW+CMBX12,14.360999999999999,704.342,718.702,157.977,170.59599999999998,H,0.0,0.0
2,SXMFFW+CMBX12,14.360999999999999,704.342,718.702,170.59599999999998,178.666,2,-44.897999999999996,0.0
3,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,133.768,140.963,T,0.0,-20.97099999999989
4,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,140.963,146.498,h,0.0,0.0
5,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,146.498,149.266,i,0.0,0.0
6,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,149.266,153.195,s,3.318000000000012,0.0
7,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,156.513,159.28,i,0.0,0.0
8,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,159.28,163.209,s,3.328000000000003,0.0
9,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,166.537,170.41099999999997,t,0.0,0.0
10,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,170.41099999999997,175.947,h,0.0,0.0
11,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,175.947,180.37400000000002,e,3.3179999999999836,0.0
12,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,183.692,189.227,n,0.0,0.0
13,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,189.227,194.208,o,0.0,0.0
14,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,194.208,198.11,r,0.0,0.0
15,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,198.11,206.412,m,0.0,0.0
16,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,206.412,211.394,a,0.0,0.0
17,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,211.394,214.16099999999997,l,3.3180000000000405,0.0
18,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,217.479,221.35299999999998,t,0.0,0.0
19,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,221.35299999999998,225.78099999999998,e,0.0,0.0
20,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,225.78099999999998,231.03900000000002,x,0.0,0.0
21,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,231.03900000000002,234.91299999999998,t,3.328000000000003,0.0
22,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,238.24099999999999,241.00799999999998,i,0.0,0.0
23,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,241.00799999999998,246.544,n,3.316999999999979,0.0
24,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,249.861,253.736,t,0.0,0.0
25,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,253.736,259.27099999999996,h,0.0,0.0
26,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,259.27099999999996,263.698,e,3.3179999999999836,0.0
27,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,267.01599999999996,275.318,m,0.0,0.0
28,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,275.318,280.29900000000004,a,0.0,0.0
29,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,280.29900000000004,283.067,i,0.0,0.0
30,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,283.067,288.60200000000003,n,3.326999999999998,0.0
31,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,291.92900000000003,295.85900000000004,s,0.0,0.0
32,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,295.85900000000004,300.286,e,0.0,0.0
33,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,300.286,304.71299999999997,c,0.0,0.0
34,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,304.71299999999997,308.58799999999997,t,0.0,0.0
35,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,308.58799999999997,311.355,i,0.0,0.0
36,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,311.355,316.337,o,0.0,0.0
37,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,316.337,321.872,n,0.0,0.0
38,XPCBJJ+CMR10,9.963,683.3710000000001,693.334,321.872,324.639,.,-190.871,0.0
39,SXMFFW+CMBX12,11.967,655.097,667.064,133.768,140.493,1,0.0,-28.274000000000115
40,SXMFFW+CMBX12,11.967,655.097,667.064,140.493,144.22899999999998,.,0.0,0.0
41,SXMFFW+CMBX12,11.967,655.097,667.064,144.22899999999998,150.954,1,13.448999999999984,0.0
42,SXMFFW+CMBX12,11.967,655.097,667.064,164.403,174.919,H,0.0,0.0
43,SXMFFW+CMBX12,11.967,655.097,667.064,174.919,181.644,3,-47.876000000000005,0.0
44,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,133.768,139.303,S,0.0,-18.003999999999905
45,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,139.303,144.285,o,0.0,0.0
46,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,144.285,152.586,m,0.0,0.0
47,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,152.586,157.014,e,3.3170000000000073,0.0
48,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,160.33100000000002,165.86700000000002,n,0.0,0.0
49,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,165.86700000000002,170.84799999999998,o,0.0,0.0
50,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,170.84799999999998,174.75,r,0.0,0.0
51,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,174.75,183.05200000000002,m,0.0,0.0
52,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,183.05200000000002,188.033,a,0.0,0.0
53,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,188.033,190.801,l,3.326999999999998,0.0
54,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,194.128,198.003,t,0.0,0.0
55,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,198.003,202.43,e,0.0,0.0
56,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,202.43,207.688,x,0.0,0.0
57,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,207.688,211.563,t,3.3179999999999836,0.0
58,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,214.88099999999997,217.648,i,0.0,0.0
59,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,217.648,223.183,n,3.3179999999999836,0.0
60,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,226.50099999999998,230.43,s,0.0,0.0
61,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,230.43,235.965,u,0.0,0.0
62,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,235.965,241.50099999999998,b,0.0,0.0
63,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,241.50099999999998,245.43,s,0.0,0.0
64,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,245.43,249.857,e,0.0,0.0
65,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,249.857,254.285,c,0.0,0.0
66,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,254.285,258.159,t,0.0,0.0
67,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,258.159,260.927,i,0.0,0.0
68,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,260.927,265.908,o,0.0,0.0
69,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,265.908,271.443,n,0.0,0.0
70,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,271.443,274.211,.,4.432999999999993,0.0
71,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,278.644,286.94599999999997,m,0.0,0.0
72,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,286.94599999999997,291.927,o,0.0,0.0
73,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,291.927,295.857,s,0.0,0.0
74,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,295.857,299.731,t,3.3180000000000405,0.0
75,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,303.04900000000004,308.03,o,0.0,0.0
76,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,308.03,311.074,f,3.3179999999999836,0.0
77,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,314.392,318.26599999999996,t,0.0,0.0
78,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,318.26599999999996,323.802,h,0.0,0.0
79,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,323.802,328.22900000000004,e,3.3269999999999413,0.0
80,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,331.556,337.092,d,0.0,0.0
81,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,337.092,342.07300000000004,o,0.2789999999999395,0.0
82,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,342.352,346.779,c,0.0,0.0
83,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,346.779,352.315,u,0.0,0.0
84,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,352.315,360.616,m,0.0,0.0
85,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,360.616,365.04400000000004,e,0.0,0.0
86,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,365.04400000000004,370.579,n,-0.27899999999999636,0.0
87,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,370.3,374.175,t,3.3169999999999504,0.0
88,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,377.49199999999996,384.68699999999995,w,0.0,0.0
89,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,384.68699999999995,387.455,i,0.0,0.0
90,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,387.455,390.222,l,0.0,0.0
91,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,390.222,392.99,l,3.3169999999999504,0.0
92,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,396.30699999999996,401.843,h,0.0,0.0
93,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,401.843,406.824,a,-0.26900000000000546,0.0
94,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,406.555,411.81300000000005,v,-0.2790000000000532,0.0
95,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,411.534,415.962,e,3.3170000000000073,0.0
96,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,419.279,424.814,n,0.0,0.0
97,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,424.814,429.796,o,0.0,0.0
98,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,429.796,433.69800000000004,r,0.0,0.0
99,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,433.69800000000004,442.0,m,0.0,0.0
100,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,442.0,446.981,a,0.0,0.0
101,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,446.981,449.749,l,3.3269999999999413,0.0
102,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,453.07599999999996,456.95099999999996,t,0.0,0.0
103,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,456.95099999999996,461.37800000000004,e,0.0,0.0
104,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,461.37800000000004,466.63599999999997,x,0.0,0.0
105,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,466.63599999999997,470.51099999999997,t,0.0,0.0
106,XPCBJJ+CMR10,9.963,637.0930000000001,647.056,470.51099999999997,473.278,.,-339.51,0.0
107,SXMFFW+CMBX12,11.967,608.819,620.786,133.768,140.493,1,0.0,-28.274000000000115
108,SXMFFW+CMBX12,11.967,608.819,620.786,140.493,144.22899999999998,.,0.0,0.0
109,SXMFFW+CMBX12,11.967,608.819,620.786,144.22899999999998,150.954,2,13.448999999999984,0.0
110,SXMFFW+CMBX12,11.967,608.819,620.786,164.403,174.919,H,0.0,0.0
111,SXMFFW+CMBX12,11.967,608.819,620.786,174.919,181.644,3,-47.876000000000005,0.0
112,SXMFFW+CMBX12,14.360999999999999,583.988,598.3480000000001,133.768,141.838,2,16.13900000000001,-24.830999999999904
113,SXMFFW+CMBX12,14.360999999999999,583.988,598.3480000000001,157.977,170.59599999999998,H,0.0,0.0
114,SXMFFW+CMBX12,14.360999999999999,583.988,598.3480000000001,170.59599999999998,178.666,2,-44.897999999999996,0.0
115,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,133.768,140.963,T,0.0,-20.971000000000117
116,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,140.963,146.498,h,0.0,0.0
117,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,146.498,149.266,i,0.0,0.0
118,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,149.266,153.195,s,3.318000000000012,0.0
119,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,156.513,160.442,s,0.0,0.0
120,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,160.442,164.86900000000003,e,0.0,0.0
121,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,164.86900000000003,169.297,c,0.010000000000019327,0.0
122,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,169.30700000000002,173.18099999999998,t,0.0,0.0
123,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,173.18099999999998,175.949,i,-0.009999999999990905,0.0
124,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,175.93900000000002,180.92,o,0.0,0.0
125,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,180.92,186.455,n,3.3279999999999745,0.0
126,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,189.783,192.55,i,0.0,0.0
127,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,192.55,196.48,s,3.3170000000000073,0.0
128,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,199.797,205.332,h,0.0,0.0
129,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,205.332,209.76,e,0.0,0.0
130,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,209.76,214.74099999999999,a,0.0,0.0
131,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,214.74099999999999,220.27599999999998,d,0.0,0.0
132,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,220.27599999999998,223.044,i,0.0,0.0
133,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,223.044,228.579,n,0.0,0.0
134,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,228.579,233.56,g,3.3179999999999836,0.0
135,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,236.878,239.646,l,0.0,0.0
136,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,239.646,244.07299999999998,e,0.0,0.0
137,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,244.07299999999998,249.331,v,-0.26899999999997704,0.0
138,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,249.062,253.49,e,0.0,0.0
139,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,253.49,256.257,l,3.3179999999999836,0.0
140,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,259.575,264.556,2,0.0,0.0
141,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,264.556,267.324,.,4.423000000000002,0.0
142,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,271.747,277.282,S,0.0,0.0
143,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,277.282,282.264,o,3.326999999999998,0.0
144,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,285.591,289.466,t,0.0,0.0
145,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,289.466,295.001,h,0.0,0.0
146,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,295.001,297.768,i,0.0,0.0
147,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,297.768,301.698,s,3.3170000000000073,0.0
148,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,305.015,307.783,i,0.0,0.0
149,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,307.783,311.712,s,3.3179999999999836,0.0
150,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,315.03,318.959,s,0.0,0.0
151,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,318.959,323.94,o,0.0,0.0
152,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,323.94,332.24199999999996,m,0.0,0.0
153,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,332.24199999999996,336.66900000000004,e,3.3279999999999177,0.0
154,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,339.99699999999996,343.871,t,0.0,0.0
155,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,343.871,348.29900000000004,e,0.0,0.0
156,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,348.29900000000004,353.55699999999996,x,0.0,0.0
157,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,353.55699999999996,357.431,t,3.3180000000000405,0.0
158,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,360.749,363.517,i,0.0,0.0
159,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,363.517,369.05199999999996,n,3.317000000000064,0.0
160,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,372.369,376.244,t,0.0,0.0
161,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,376.244,381.779,h,0.0,0.0
162,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,381.779,384.54699999999997,i,0.0,0.0
163,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,384.54699999999997,388.476,s,3.327000000000055,0.0
164,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,391.80300000000005,395.733,s,0.0,0.0
165,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,395.733,400.16,e,0.0,0.0
166,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,400.16,404.587,c,0.0,0.0
167,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,404.587,408.462,t,0.0,0.0
168,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,408.462,411.22900000000004,i,0.0,0.0
169,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,411.22900000000004,416.211,o,0.0,0.0
170,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,416.211,421.746,n,0.0,0.0
171,XPCBJJ+CMR10,9.963,563.0169999999999,572.98,421.746,424.514,.,-290.746,0.0
172,SXMFFW+CMBX12,11.967,534.743,546.71,133.768,140.493,2,0.0,-28.273999999999887
173,SXMFFW+CMBX12,11.967,534.743,546.71,140.493,144.22899999999998,.,0.0,0.0
174,SXMFFW+CMBX12,11.967,534.743,546.71,144.22899999999998,150.954,1,13.448999999999984,0.0
175,SXMFFW+CMBX12,11.967,534.743,546.71,164.403,174.919,H,0.0,0.0
176,SXMFFW+CMBX12,11.967,534.743,546.71,174.919,181.644,3,-47.876000000000005,0.0
177,XPCBJJ+CMR10,9.963,516.739,526.702,133.768,140.963,T,-0.8269999999999982,-18.00400000000002
178,XPCBJJ+CMR10,9.963,516.739,526.702,140.136,145.11700000000002,o,0.27899999999999636,0.0
179,XPCBJJ+CMR10,9.963,516.739,526.702,145.39600000000002,150.378,o,0.0,0.0
180,XPCBJJ+CMR10,9.963,516.739,526.702,150.378,153.145,l,-0.010000000000019327,0.0
